club,clubid,country,countrycode,governingbody,clubshortnames
SK Slavia Prague,111cbfb1,Czech Republic,CZE,UEFA,Slavia Prague
KRC Genk,1e972a99,Belgium,BEL,UEFA,Genk
SønderjyskE Fodbold,7700eac9,Denmark,DEN,UEFA,SønderjyskE
AEK Athens FC,d5348c80,Greece,GRE,UEFA,AEK Athens
FC Spartak Moscow,8c635914,Russia,RUS,UEFA,Spartak Moscow
CS Pandurii Târgu Jiu,46554cb7,Romania,ROU,UEFA,Pandurii
US Sassuolo Calcio,e2befd26,Italy,ITA,UEFA,Sassuolo
FC Oleksandriya,797d38d2,Ukraine,UKR,UEFA,FC Oleksandriya
Hertha BSC,2818f8bc,Germany,GER,UEFA,Hertha BSC
Heracles Almelo,c882b88e,Netherlands,NED,UEFA,Heracles Almelo
FC Arouca,0d36ddd4,Portugal,POR,UEFA,Arouca
FC Viitorul Constanța,4fffe901,Romania,ROU,UEFA,Viitorul
Celta de Vigo,f25da7fb,Spain,ESP,UEFA,Celta Vigo
KF Trepça'89,cc98b556,Kosovo,KVX,UEFA,KF Trepça'89
Budapest Honvéd FC,8cac5dfa,Hungary,HUN,UEFA,Honvéd
OGC Nice,132ebc33,France,FRA,UEFA,Nice
TSG 1899 Hoffenheim,033ea6b8,Germany,GER,UEFA,Hoffenheim
KF Tirana,83310fa5,Albania,ALB,UEFA,KF Tirana
FK Mladost Lučani,9db96189,Serbia,SRB,UEFA,Mladost Lučani
FC Torpedo Kutaisi,231f4a61,Georgia,GEO,UEFA,Torpedo Kutaisi|Torp Kutaisi
Lyngby BK,713d0672,Denmark,DEN,UEFA,Lyngby
Zira FK,ffb7956e,Azerbaijan,AZE,UEFA,Zira
FK Pelister,6d2aac76,North Macedonia,MKD,UEFA,FK Pelister
Vasas FC,bbb935cb,Hungary,HUN,UEFA,Vasas
MFK Ružomberok,356c100c,Slovakia,SVK,UEFA,Ružomberok|MFK Ružomberok
FC Irtysh Pavlodar,db5a37c5,Kazakhstan,KAZ,UEFA,Irtysh Pavlodar
FC Dunav Ruse,97171221,Bulgaria,BUL,UEFA,Dunav Ruse
Gandzasar Kapan FC,5f2630fb,Armenia,ARM,UEFA,Gandzasar
Floriana FC,9c088d4e,Malta,MLT,UEFA,Floriana FC
NK Osijek,57d14db5,Croatia,CRO,UEFA,Osijek
FK Zeta,bda134f7,Montenegro,MNE,UEFA,FK Zeta|Zeta
St. Joseph's FC,bb780485,Gibraltar,GIB,UEFA,St. Joseph's
Rangers FC,86b7acd2,Scotland,SCO,UEFA,Rangers
Coleraine FC,3fdad06c,Northern Ireland,NIR,UEFA,Coleraine FC
Ballymena United FC,b0e70933,Northern Ireland,NIR,UEFA,Ballymena Utd
FC Prishtina,7de37644,Kosovo,KVX,UEFA,FC Prishtina
Panionios FC,1ad6cc2c,Greece,GRE,UEFA,Panionios
FC Utrecht,2a428619,Netherlands,NED,UEFA,Utrecht
SK Brann,aeae4fe1,Norway,NOR,UEFA,Brann
FC Dinamo Brest,31742d51,Belarus,BLR,UEFA,FC Dinamo Brest
Östersunds FK,577e2606,Sweden,SWE,UEFA,Östersund
Bnei Yehuda Tel Aviv FC,1040e0f7,Israel,ISR,UEFA,Bnei Yehuda|Bnei Yehuda TA
FC Dinamo București,4472d406,Romania,ROU,UEFA,Dinamo
FC Olimpik Donetsk,4deda092,Ukraine,UKR,UEFA,Olimpik Donetsk
MKS Arka Gdynia,d51bc6dd,Poland,POL,UEFA,Arka Gdynia
CS Marítimo,c1b0f61b,Portugal,POR,UEFA,Marítimo
KV Oostende,95b895fe,Belgium,BEL,UEFA,Oostende
SC Freiburg,a486e511,Germany,GER,UEFA,Freiburg
AC Milan,dc56fe14,Italy,ITA,UEFA,Milan
Atalanta BC,922493f3,Italy,ITA,UEFA,Atalanta
RB Leipzig,acbb6a5b,Germany,GER,UEFA,RB Leipzig
KF Drita,77b23ba3,Kosovo,KVX,UEFA,KF Drita
Cefn Druids AFC,0876564a,Wales,WAL,UEFA,Cefn Druids AFC
Gżira United FC,8ab497d5,Malta,MLT,UEFA,Gżira United FC|Gzira United
KÍ Klaksvík,869753d6,Faroe Islands,FRO,UEFA,KÍ Klaksvík|KÍ
UE Engordany,b784c866,Andorra,AND,UEFA,UE Engordany|Engordany
S.P. Tre Fiori,017bcbe4,San Marino,SMR,UEFA,S.P. Tre Fiori|SP Tre Fiori
FC Ilves,acffac85,Finland,FIN,UEFA,Ilves
FC Stumbras,31ef340d,Lithuania,LTU,UEFA,FC Stumbras
FC DAC 1904 Dunajská Streda,b11bfada,Slovakia,SVK,UEFA,Dunajská Streda|DAC 1904
FK Shkupi,7416e9cd,North Macedonia,MKD,UEFA,FK Shkupi|Shkupi Skopje
Racing FC Union Luxembourg,406252ea,Luxembourg,LUX,UEFA,Racing Lux'bg
Újpest FC,108607cf,Hungary,HUN,UEFA,Újpest
FC Tobol,8c6383a1,Kazakhstan,KAZ,UEFA,FC Tobol|Tobol Qostanaı
KS Górnik Zabrze,d2f21b23,Poland,POL,UEFA,Górnik Zabrze
FK Spartak Subotica,6d139ec5,Serbia,SRB,UEFA,Spartak Subotic
FC Nordsjælland,1850e3f9,Denmark,DEN,UEFA,Nordsjælland
Luftëtari Gjirokastër,0e3f0159,Albania,ALB,UEFA,Luftëtari
FC Petrocub Sărata-Galbenă,ae96366c,Moldova,MDA,UEFA,Petrocub
Anorthosis Famagusta FC,d27fe90c,Cyprus,CYP,UEFA,Anorthosis
Riga FC,91cc0413,Latvia,LVA,UEFA,Riga FC|Rīga FC
JK Narva Trans,8a9775ad,Estonia,EST,UEFA,JK Narva Trans|Narva Trans
FK Radnički Niš,72804f2b,Serbia,SRB,UEFA,Radnički Niš
Íþróttabandalag Vestmannaeyja,e0afb445,Iceland,ISL,UEFA,ÍBV
Sarpsborg 08 FF,47b3e736,Norway,NOR,UEFA,Sarpsborg 08
Kuopion PS,e6f63673,Finland,FIN,UEFA,KuPS
Burnley FC,943e8050,England,ENG,UEFA,Burnley
Hapoel Haifa FC,8ff9960d,Israel,ISR,UEFA,Hapoel Haifa FC
FC Ufa,ec7fdeb7,Russia,RUS,UEFA,Ufa
LASK Linz,d20821dd,Austria,AUT,UEFA,LASK Linz
Lillestrøm SK,924759ab,Norway,NOR,UEFA,Lillestrøm
FC St. Gallen,cdaf4e6d,Switzerland,SUI,UEFA,St. Gallen
Djurgårdens IF,9423c05a,Sweden,SWE,UEFA,Djurgården
FC Mariupol,42b37a13,Ukraine,UKR,UEFA,FC Mariupol
SK Sigma Olomouc,41c6978d,Czech Republic,CZE,UEFA,Sigma Olomouc
CS Universitatea Craiova,1eebf7c3,Romania,ROU,UEFA,U Craiova
Eintracht Frankfurt,f0ac8ee6,Germany,GER,UEFA,Eint Frankfurt
Stade Rennais FC,b3072e00,France,FRA,UEFA,Rennes
Real Betis,fc536746,Spain,ESP,UEFA,Betis
FC Ararat-Armenia,85dbecd4,Armenia,ARM,UEFA,Ararat-Armenia
KF Feronikeli,abffa138,Albania,ALB,UEFA,Feronikeli
FC Saburtalo Tbilisi,672ebb3d,Georgia,GEO,UEFA,Saburtalo
Cardiff Metropolitan University FC,4872ca3d,Wales,WAL,UEFA,Cardiff Met
Barry Town United FC,d8760be1,Wales,WAL,UEFA,Barry Town
FK Makedonija Gjorče Petrov,5130dd3e,North Macedonia,MKD,UEFA,Makedonija GP
NŠ Mura,43a5e45a,Slovenia,SVN,UEFA,NŠ Mura
Speranța Nisporeni,78b01d1b,Moldova,MDA,UEFA,Speranţa
FK Rīgas Futbola skola,7c90642e,Latvia,LVA,UEFA,FK Rīgas FS
FK Kauno Žalgiris,3b8af0c2,Lithuania,LTU,UEFA,Kauno Žalgiris
Sabail FK,6642b67e,Azerbaijan,AZE,UEFA,Səbail FK
FC Vitebsk,3f2bd811,Belarus,BLR,UEFA,FK Vitebsk
FC Inter Turku,e9fa2e8b,Finland,FIN,UEFA,Inter Turku
Kilmarnock FC,25f1fd26,Scotland,SCO,UEFA,Kilmarnock
Akademija Pandev,99875d32,North Macedonia,MKD,UEFA,Akad Pandev
Aris Thessaloniki FC,edddfa63,Greece,GRE,UEFA,Aris
PFC Lokomotiv Plovdiv,e0242ef1,Bulgaria,BUL,UEFA,Loko Plovdiv
Yeni Malatyaspor,4cc7a87b,Turkey,TUR,UEFA,Y. Malatyaspor
RC Strasbourg Alsace,c0d3eab4,France,FRA,UEFA,Strasbourg
RCD Espanyol,a8661628,Spain,ESP,UEFA,Espanyol
Wolverhampton Wanderers FC,8cec06e1,England,ENG,UEFA,Wolves
FC Arsenal Tula,0bca3a9e,Russia,RUS,UEFA,Arsenal Tula
KS Lechia Gdańsk,5d36c8f0,Poland,POL,UEFA,Lechia Gdańsk
Royal Antwerp FC,c2e6b53b,Belgium,BEL,UEFA,Antwerp
