comp,season,matchid,minute,card,team.id,team.name,player.id,player.name
CL,2017,200068,22,YELLOW_CARD,1879,FC Santa Coloma,14824,Andreu Ramos
CL,2017,200068,33,YELLOW_CARD,1870,FC Alashkert,14821,Danijel Stojković
CL,2017,200068,68,YELLOW_CARD,1879,FC Santa Coloma,14823,Eloy Casals
CL,2017,200068,74,YELLOW_CARD,1870,FC Alashkert,14813,Artak Yedigaryan
CL,2017,200068,79,YELLOW_CARD,1870,FC Alashkert,14836,Mladen Zeljković
CL,2017,200068,90,YELLOW_CARD,1879,FC Santa Coloma,14825,Ildefons Lima
CL,2017,200064,45,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14878,Ylber Maloku
CL,2017,200064,69,YELLOW_CARD,1905,Víkingur Gøta,14872,Filip Đorđević
CL,2017,200066,4,YELLOW_CARD,1892,Hibernians FC,14900,Johann Bezzina
CL,2017,200066,12,YELLOW_CARD,1892,Hibernians FC,14895,Clayton Failla
CL,2017,200066,41,YELLOW_CARD,1882,FCI Tallinn,14926,Andrei Kalimullin
CL,2017,200066,52,YELLOW_CARD,1882,FCI Tallinn,14905,Aleksandr Dmitrijev
CL,2017,200066,84,YELLOW_CARD,1882,FCI Tallinn,14925,Vladimir Voskoboinikov
CL,2017,200070,17,YELLOW_CARD,1904,The New Saints FC,14951,Ryan Pryce
CL,2017,200070,27,YELLOW_CARD,1904,The New Saints FC,14950,Connell Rawlinson
CL,2017,200070,61,YELLOW_CARD,1904,The New Saints FC,14952,Adrian Cieslewicz
CL,2017,200070,63,YELLOW_CARD,1874,Europa FC,14940,Iván Moya
CL,2017,200070,64,YELLOW_CARD,1874,Europa FC,14937,Guille Roldán
CL,2017,200072,22,YELLOW_CARD,1902,SP La Fiorita,14982,Samuele Olivi
CL,2017,200072,22,YELLOW_CARD,1902,SP La Fiorita,14981,Crocefisso Miglietta
CL,2017,200072,63,YELLOW_CARD,1902,SP La Fiorita,14979,Gianluca Vivan
CL,2017,200072,68,YELLOW_CARD,1902,SP La Fiorita,14976,Adolfo Hirsch
CL,2017,200072,90,YELLOW_CARD,1896,Linfield FC,15007,Jordan Stewart
CL,2017,200065,29,YELLOW_CARD,1905,Víkingur Gøta,14874,Sorin Vasili Anghel
CL,2017,200065,31,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14876,Blerand Kurtishaj
CL,2017,200065,33,YELLOW_RED_CARD,1906,KF Trepça '89 Mitrovicë,14876,Blerand Kurtishaj
CL,2017,200065,35,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14858,Fiton Hajdari
CL,2017,200065,44,YELLOW_CARD,1905,Víkingur Gøta,15015,Hans Djurhuus
CL,2017,200065,62,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14875,Kushtrim Lushtaku
CL,2017,200065,67,YELLOW_CARD,1905,Víkingur Gøta,14872,Filip Đorđević
CL,2017,200065,89,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14879,Odi Chibuze
CL,2017,200065,90,YELLOW_CARD,1906,KF Trepça '89 Mitrovicë,14861,Ilir Izmaku
CL,2017,200067,51,YELLOW_CARD,1882,FCI Tallinn,14906,Aleksandr Kulinitš
CL,2017,200067,90,YELLOW_CARD,1882,FCI Tallinn,14911,Matvei Igonen
CL,2017,200071,27,YELLOW_CARD,1904,The New Saints FC,14946,Jon Routledge
CL,2017,200071,31,YELLOW_CARD,1904,The New Saints FC,14686,Scott Quigley
CL,2017,200071,53,YELLOW_CARD,1904,The New Saints FC,14949,Aeron Edwards
CL,2017,200071,58,YELLOW_CARD,1874,Europa FC,14939,Álex Quillo
CL,2017,200071,58,RED_CARD,1874,Europa FC,14943,Kike Gómez
CL,2017,200071,59,RED_CARD,1874,Europa FC,14939,Álex Quillo
CL,2017,200071,76,YELLOW_CARD,1874,Europa FC,14942,Javi Muñoz
CL,2017,200071,87,YELLOW_CARD,1874,Europa FC,14936,Toni García
CL,2017,200071,116,YELLOW_CARD,1874,Europa FC,14960,Enrique Carreño
CL,2017,200071,120,YELLOW_CARD,1874,Europa FC,14941,Toscano
CL,2017,200071,120,YELLOW_CARD,1904,The New Saints FC,14962,Alex Darlington
CL,2017,200069,28,YELLOW_CARD,1879,FC Santa Coloma,14827,Marc Rebés
CL,2017,200069,36,YELLOW_CARD,1870,FC Alashkert,14814,Artur Yedigaryan
CL,2017,200069,36,YELLOW_CARD,1879,FC Santa Coloma,15043,José Galán
CL,2017,200069,50,YELLOW_CARD,1879,FC Santa Coloma,14823,Eloy Casals
CL,2017,200069,80,YELLOW_CARD,1879,FC Santa Coloma,14825,Ildefons Lima
CL,2017,200069,88,YELLOW_CARD,1879,FC Santa Coloma,14826,Robert Ramos
CL,2017,200069,90,YELLOW_CARD,1870,FC Alashkert,14834,Lester Peltier
CL,2017,200069,90,YELLOW_CARD,1879,FC Santa Coloma,14822,Capdevila
CL,2017,200069,90,YELLOW_CARD,1879,FC Santa Coloma,14830,Quique Cubas
CL,2017,200073,24,YELLOW_CARD,1902,SP La Fiorita,14998,Tommaso Zafferani
CL,2017,200073,40,YELLOW_CARD,1896,Linfield FC,14989,Mark Haughey
CL,2017,200073,53,YELLOW_CARD,1902,SP La Fiorita,14978,Marco Gasperoni
CL,2017,200073,90,YELLOW_CARD,1896,Linfield FC,14987,Jamie Mulgrew
CL,2017,200078,5,YELLOW_CARD,1878,FC Samtredia,14260,Muhammed Velagić
CL,2017,200078,8,YELLOW_CARD,1878,FC Samtredia,15069,Bacar Baldé
CL,2017,200078,10,YELLOW_CARD,1878,FC Samtredia,15067,Giorgi Datunaishvili
CL,2017,200078,58,YELLOW_CARD,1878,FC Samtredia,15071,Guram Samushia
CL,2017,200098,11,YELLOW_CARD,1892,Hibernians FC,14899,Marcelo Dias
CL,2017,200098,44,YELLOW_CARD,1877,FC Red Bull Salzburg,6563,Valentino Lazaro
CL,2017,200098,45,YELLOW_CARD,1877,FC Red Bull Salzburg,3354,Hwang Heechan
CL,2017,200098,86,RED_CARD,1877,FC Red Bull Salzburg,15099,Valon Berisha
CL,2017,200080,53,YELLOW_CARD,1885,FK Budućnost Podgorica,15120,Luka Mirković
CL,2017,200080,67,YELLOW_CARD,1885,FK Budućnost Podgorica,15116,Janko Simović
CL,2017,200080,79,YELLOW_CARD,1885,FK Budućnost Podgorica,15136,Alen Melunović
CL,2017,200080,84,YELLOW_CARD,850,FK Partizan Beograd,15146,Petar Đuričković
CL,2017,200084,25,YELLOW_CARD,1888,FK Spartaks Jūrmala,15183,Aziz Ibragimov
CL,2017,200084,29,YELLOW_CARD,1884,Astana FK,15185,Ihar Shytaw
CL,2017,200084,33,YELLOW_CARD,1888,FK Spartaks Jūrmala,15181,Edgars Vardanjans
CL,2017,200084,47,YELLOW_CARD,1884,Astana FK,15184,Yuri Logvinenko
CL,2017,200084,50,YELLOW_CARD,1888,FK Spartaks Jūrmala,15179,Jevgeņijs Kazačoks
CL,2017,200084,66,YELLOW_CARD,1884,Astana FK,15190,Serikzhan Muzhikov
CL,2017,200084,74,YELLOW_CARD,1884,Astana FK,15187,Srđan Grahovac
CL,2017,200074,29,YELLOW_CARD,1875,F91 Diddeleng,15218,Kevin Malget
CL,2017,200074,48,YELLOW_CARD,1875,F91 Diddeleng,15220,David Turpel
CL,2017,200074,52,YELLOW_CARD,1875,F91 Diddeleng,15238,Edisson Jordanov
CL,2017,200074,75,YELLOW_CARD,752,APOEL FC,15249,Vander
CL,2017,200074,88,YELLOW_CARD,752,APOEL FC,15230,Lorenzo Ebecilio
CL,2017,200082,25,YELLOW_CARD,1880,FC Sheriff Tiraspol,15271,Mateo Sušić
CL,2017,200082,62,YELLOW_CARD,1880,FC Sheriff Tiraspol,15274,Gheorghe Anton
CL,2017,200082,78,YELLOW_CARD,1886,FK Kukësi,15256,Albert Serrán
CL,2017,200082,80,YELLOW_CARD,1880,FC Sheriff Tiraspol,15284,Ziguy Badibanga
CL,2017,200088,34,YELLOW_CARD,1872,Budapest Honvéd FC,15309,Ivan Lovric
CL,2017,200088,69,YELLOW_CARD,1891,Hapoel Be'er Sheva FC,15302,Shir Tzedek
CL,2017,200088,71,YELLOW_CARD,1872,Budapest Honvéd FC,15305,Zsolt Laczkó
CL,2017,200090,37,YELLOW_CARD,749,Malmö FF,4157,Pawel Cibicki
CL,2017,200090,54,YELLOW_CARD,1889,FK Vardar Skopje,15346,Tigran Barseghyan
CL,2017,200090,77,YELLOW_CARD,1889,FK Vardar Skopje,15349,Boban Grncharov
CL,2017,200090,81,YELLOW_CARD,1889,FK Vardar Skopje,15344,Juan Felipe
CL,2017,200090,82,YELLOW_CARD,1889,FK Vardar Skopje,15345,Boban Nikolov
CL,2017,200090,90,YELLOW_CARD,1889,FK Vardar Skopje,15347,Filip Gachevski
CL,2017,200092,10,YELLOW_CARD,734,NK Maribor,15373,Marko Šuler
CL,2017,200092,62,YELLOW_CARD,734,NK Maribor,15376,Dino Hotič
CL,2017,200092,63,YELLOW_CARD,734,NK Maribor,15382,Blaž Vrhovec
CL,2017,200092,68,YELLOW_RED_CARD,734,NK Maribor,15382,Blaž Vrhovec
CL,2017,200092,82,YELLOW_CARD,1894,HŠK Zrinjski Mostar,15404,Nardin Mulahusejnović
CL,2017,200092,90,YELLOW_CARD,1894,HŠK Zrinjski Mostar,15385,Pero Stojkić
CL,2017,200100,64,YELLOW_CARD,748,FK BATE Borisov,15419,Mirko Ivanić
CL,2017,200076,8,YELLOW_CARD,1890,FK Žalgiris Vilnius,15437,Slavko Blagojević
CL,2017,200076,29,YELLOW_CARD,1901,PFK Ludogorets 1945 Razgrad,15453,Gustavo Campanharo
CL,2017,200076,62,YELLOW_CARD,1890,FK Žalgiris Vilnius,4688,Matija Ljujić
CL,2017,200076,64,YELLOW_CARD,1890,FK Žalgiris Vilnius,15439,Darvydas Šernas
CL,2017,200076,87,YELLOW_CARD,1901,PFK Ludogorets 1945 Razgrad,15452,Lucas Sasha
CL,2017,200076,90,YELLOW_CARD,1890,FK Žalgiris Vilnius,15455,Bahrudin Atajić
CL,2017,200076,90,YELLOW_RED_CARD,1890,FK Žalgiris Vilnius,15439,Darvydas Šernas
CL,2017,200096,55,YELLOW_CARD,1105,Legia Warszawa,15489,Maciej Dąbrowski
CL,2017,200096,56,YELLOW_CARD,1895,IFK Mariehamn,15475,Anthony Dafaa
CL,2017,200096,61,YELLOW_RED_CARD,1895,IFK Mariehamn,15475,Anthony Dafaa
CL,2017,200096,88,YELLOW_CARD,1895,IFK Mariehamn,15496,Robin Sid
CL,2017,200086,35,YELLOW_CARD,1898,MSK Žilina,15520,Miroslav Káčer
CL,2017,200086,51,YELLOW_CARD,1876,FC København,3457,William Kvist
CL,2017,200086,57,YELLOW_CARD,1898,MSK Žilina,15528,Iván Díaz
CL,2017,200086,61,YELLOW_RED_CARD,1898,MSK Žilina,15520,Miroslav Káčer
CL,2017,200104,32,YELLOW_CARD,1905,Víkingur Gøta,14865,Adeshina Lawal
CL,2017,200104,52,YELLOW_CARD,1905,Víkingur Gøta,14866,Atli Gregersen
CL,2017,200104,53,YELLOW_CARD,1905,Víkingur Gøta,14864,Fróði Benjaminsen
CL,2017,200104,75,YELLOW_CARD,1907,FH Hafnarfjörður,15589,Pétur Viðarsson
CL,2017,200104,76,YELLOW_CARD,1905,Víkingur Gøta,14874,Sorin Vasili Anghel
CL,2017,200104,79,YELLOW_CARD,1907,FH Hafnarfjörður,15592,Emil Pálsson
CL,2017,200106,59,YELLOW_CARD,732,Celtic FC,15612,Jozo Šimunović
CL,2017,200106,63,YELLOW_CARD,1896,Linfield FC,15002,Robert Garrett
CL,2017,200106,65,YELLOW_CARD,732,Celtic FC,15609,Leigh Griffiths
CL,2017,200106,66,YELLOW_CARD,732,Celtic FC,3419,Tom Rogić
CL,2017,200106,69,YELLOW_CARD,1896,Linfield FC,14990,Andy Waterworth
CL,2017,200106,74,YELLOW_CARD,732,Celtic FC,15610,Scott Brown
CL,2017,200106,90,YELLOW_CARD,732,Celtic FC,15614,Stuart Armstrong
CL,2017,200106,90,YELLOW_CARD,1896,Linfield FC,4037,Paul Smyth
CL,2017,200085,43,YELLOW_CARD,1888,FK Spartaks Jūrmala,15200,Ingars Stuglis
CL,2017,200085,75,YELLOW_CARD,1888,FK Spartaks Jūrmala,15197,Dmitri Platonov
CL,2017,200085,90,YELLOW_CARD,1888,FK Spartaks Jūrmala,15181,Edgars Vardanjans
CL,2017,200085,90,YELLOW_CARD,1884,Astana FK,15193,Ivan Maewski
CL,2017,200091,15,YELLOW_CARD,1889,FK Vardar Skopje,15347,Filip Gachevski
CL,2017,200091,15,YELLOW_CARD,1889,FK Vardar Skopje,15342,Yevhen Novak
CL,2017,200091,18,YELLOW_CARD,749,Malmö FF,15340,Franz Brorsson
