season,tie,game,hometeam,awayteam,pcthome,pctdraw,pctaway
2010,cska-sevilla,2,Sevilla,CSKA Moscow,0.6095610385653879,0.2446851518468362,0.1457538095877759
2010,inter-chelsea,1,Inter,Chelsea,0.36332083626659684,0.3119300600841506,0.32474910364925264
2010,inter-chelsea,2,Chelsea,Inter,0.5942511495193236,0.2437832599595834,0.16196559052109308
2010,lyon-madrid,1,Lyon,Real Madrid,0.2402640618721399,0.2852682063919969,0.4744677317358632
2010,lyon-madrid,2,Real Madrid,Lyon,0.7348462112406455,0.17140056293843187,0.09375322582092269
2010,milan-united,1,AC Milan,Manchester Utd,0.32987677017206213,0.30738517220578515,0.3627380576221526
2010,milan-united,2,Manchester Utd,AC Milan,0.5528988602503412,0.25541235445722105,0.19168878529243769
2010,olympiacos-bordeaux,1,Olympiakos Piraeus,Bordeaux,0.3160918364424222,0.30586232717244094,0.378045836385137
2010,olympiacos-bordeaux,2,Bordeaux,Olympiakos Piraeus,0.6185406067168572,0.2394457643040275,0.1420136289791154
2010,porto-arsenal,1,FC Porto,Arsenal,0.4071152531051703,0.29829513828146126,0.2945896086133685
2010,porto-arsenal,2,Arsenal,FC Porto,0.5918525912563718,0.24760659656351225,0.160540812180116
2010,stuttgart-barcelona,1,Stuttgart,Barcelona,0.1628925878057725,0.2481766651909937,0.5889307470032339
2010,stuttgart-barcelona,2,Barcelona,Stuttgart,0.7793788633605715,0.15138071994299615,0.06924041669643233
2010,arsenal-barcelona,1,Arsenal,Barcelona,0.3147675012774655,0.27916879577584736,0.4060637029466871
2010,arsenal-barcelona,2,Barcelona,Arsenal,0.7050753880870219,0.18066863263113553,0.11425597928184267
2010,bayern-united,1,Bayern Munich,Manchester Utd,0.3069417965683526,0.2945497364584502,0.3985084669731973
2010,bayern-united,2,Manchester Utd,Bayern Munich,0.5470307637828055,0.24452798245256394,0.20844125376463052
2010,inter-cska,1,Inter,CSKA Moscow,0.6695420001544147,0.22158320639297954,0.10887479345260587
2010,inter-cska,2,CSKA Moscow,Inter,0.2861811965269542,0.28970342663805515,0.4241153768349907
2010,lyon-bordeaux,1,Lyon,Bordeaux,0.4576853410936146,0.2974232815939577,0.24489137731242752
2010,lyon-bordeaux,2,Bordeaux,Lyon,0.459025495580666,0.2797611008568556,0.26121340356247846
2010,bayern-lyon,1,Bayern Munich,Lyon,0.5693465485525898,0.2564990886642817,0.17415436278312857
2010,bayern-lyon,2,Lyon,Bayern Munich,0.39594649892083156,0.2799740036747892,0.32407949740437925
2010,inter-barcelona,1,Inter,Barcelona,0.302571854734633,0.29226755008422756,0.40516059518113945
