tie,oddshome,oddsdraw,oddsaway,season,hometeam,awayteam,pcthomeunadj,pctdrawunadj,pctawayunadj,pcthome,pctdraw,pctaway
AS Roma - Liverpool,165,305,149,2018,AS Roma,Liverpool,0.37735849056603776,0.24691358024691357,0.40160642570281124,0.3678393609454506,0.24068501395196146,0.39147562510258793
Real Madrid - Bayern Munich,139,309,174,2018,Real Madrid,Bayern Munich,0.41841004184100417,0.24449877750611246,0.36496350364963503,0.4070642165178004,0.23786882089915473,0.3550669625830449
Bayern Munich - Real Madrid,100,308,256,2018,Bayern Munich,Real Madrid,0.5,0.24509803921568626,0.2808988764044944,0.4873308997208503,0.2388876959415933,0.2737814043375564
Liverpool - AS Roma,-192,362,568,2018,Liverpool,AS Roma,0.6575342465753424,0.21645021645021645,0.1497005988023952,0.6423208378182343,0.21144219498886682,0.1462369671928989
Bayern Munich - Sevilla,-370,581,952,2018,Bayern Munich,Sevilla,0.7872340425531915,0.14684287812041116,0.09505703422053231,0.7649480797027757,0.14268587429467974,0.09236604600254458
Real Madrid - Juventus,-154,341,413,2018,Real Madrid,Juventus,0.6062992125984252,0.22675736961451248,0.1949317738791423,0.5897919066936563,0.22058359734397726,0.1896244959623664
AS Roma - Barcelona,372,342,-143,2018,AS Roma,Barcelona,0.211864406779661,0.22624434389140272,0.588477366255144,0.20637762705580215,0.22038515830393351,0.5732372146402642
Manchester City - Liverpool,-204,430,495,2018,Manchester City,Liverpool,0.6710526315789473,0.18867924528301888,0.16806722689075632,0.6529025265042413,0.1835759970933124,0.16352147640244635
Barcelona - AS Roma,-455,603,1327,2018,Barcelona,AS Roma,0.8198198198198198,0.1422475106685633,0.0700770847932726,0.7942878997180874,0.13781744934379772,0.06789465093811478
Liverpool - Manchester City,210,262,135,2018,Liverpool,Manchester City,0.3225806451612903,0.27624309392265195,0.425531914893617,0.31491078699933367,0.2696749833419708,0.41541422965869546
Juventus - Real Madrid,200,224,159,2018,Juventus,Real Madrid,0.3333333333333333,0.30864197530864196,0.3861003861003861,0.32423034124629085,0.30021327893175076,0.3755563798219585
Sevilla - Bayern Munich,493,345,-172,2018,Sevilla,Bayern Munich,0.16863406408094436,0.2247191011235955,0.6323529411764706,0.16440778019342636,0.21908722169595915,0.6165049981106144
Barcelona - Chelsea,-208,363,619,2018,Barcelona,Chelsea,0.6753246753246753,0.2159827213822894,0.13908205841446453,0.6554072074088625,0.20961270547633498,0.13498008711480264
Besiktas - Bayern Munich,784,497,-294,2018,Besiktas,Bayern Munich,0.11312217194570136,0.16750418760469013,0.7461928934010152,0.11016756027952543,0.1631291847355117,0.726703254984963
AS Roma - Shakhtar Donetsk,-152,334,413,2018,AS Roma,Shakhtar Donetsk,0.6031746031746031,0.2304147465437788,0.1949317738791423,0.5864484348798211,0.22402529346003355,0.18952627166014532
Manchester Utd - Sevilla,-156,308,474,2018,Manchester Utd,Sevilla,0.609375,0.24509803921568626,0.17421602787456447,0.5923801656837647,0.23826251007894003,0.16935732423729538
Manchester City - Basel,-357,479,1201,2018,Manchester City,Basel,0.7811816192560175,0.17271157167530224,0.07686395080707148,0.7578716533930971,0.1675579675189259,0.074570379087977
Tottenham - Juventus,125,249,237,2018,Tottenham,Juventus,0.4444444444444444,0.28653295128939826,0.29673590504451036,0.43245956251401846,0.2788063082110434,0.28873412927493813
Liverpool - FC Porto,-227,371,708,2018,Liverpool,FC Porto,0.6941896024464832,0.21231422505307856,0.12376237623762376,0.6737963449915966,0.20607705492321343,0.12012660008519
Paris SG - Real Madrid,-127,358,298,2018,Paris SG,Real Madrid,0.5594713656387665,0.2183406113537118,0.25125628140703515,0.543667887015483,0.21217310860728714,0.2441590043772299
Sevilla - Manchester Utd,169,225,185,2018,Sevilla,Manchester Utd,0.37174721189591076,0.3076923076923077,0.3508771929824561,0.360808678885145,0.2986385680618585,0.34055275305299654
Shakhtar Donetsk - AS Roma,160,234,188,2018,Shakhtar Donetsk,AS Roma,0.38461538461538464,0.2994011976047904,0.3472222222222222,0.3729644219733863,0.2903315859673067,0.33670399205930707
Bayern Munich - Besiktas,-769,860,2349,2018,Bayern Munich,Besiktas,0.8849252013808976,0.10416666666666667,0.04083299305839118,0.8592133608957122,0.10114006429052529,0.039646574813762464
Chelsea - Barcelona,252,234,125,2018,Chelsea,Barcelona,0.2840909090909091,0.2994011976047904,0.4444444444444444,0.27637008215712094,0.2912642782015166,0.43236563964136243
FC Porto - Liverpool,258,248,114,2018,FC Porto,Liverpool,0.27932960893854747,0.28735632183908044,0.4672897196261682,0.27015105126456457,0.2779140125077992,0.4519349362276361
Real Madrid - Paris SG,125,274,215,2018,Real Madrid,Paris SG,0.4444444444444444,0.26737967914438504,0.31746031746031744,0.43179943922150754,0.25977238990598717,0.30842817087250535
Basel - Manchester City,1023,433,-303,2018,Basel,Manchester City,0.08904719501335707,0.18761726078799248,0.7518610421836228,0.08657752791526625,0.18241381585148966,0.731008656233244
Juventus - Tottenham,131,202,276,2018,Juventus,Tottenham,0.4329004329004329,0.33112582781456956,0.26595744680851063,0.42029833068068245,0.3214864714809194,0.258215197838398
Atl. Madrid - Real Madrid,163,258,167,2017,Atl. Madrid,Real Madrid,0.38022813688212925,0.27932960893854747,0.37453183520599254,0.36769361558079866,0.2701212874238828,0.36218509699531853
Juventus - Monaco,-154,295,476,2017,Juventus,Monaco,0.6062992125984252,0.25316455696202533,0.1736111111111111,0.5868879632464723,0.2450592514624428,0.1680527852910849
Monaco - Juventus,218,227,143,2017,Monaco,Juventus,0.31446540880503143,0.3058103975535168,0.411522633744856,0.30477406883219993,0.2963857917083779,0.3988401394594222
Real Madrid - Atl. Madrid,-123,254,412,2017,Real Madrid,Atl. Madrid,0.5515695067264574,0.2824858757062147,0.1953125,0.5358332197260234,0.2744265490765312,0.18974023119744537
Barcelona - Juventus,-204,413,509,2017,Barcelona,Juventus,0.6710526315789473,0.1949317738791423,0.16420361247947454,0.6513885037436121,0.18921960893060627,0.15939188732578163
Monaco - Dortmund,193,315,123,2017,Monaco,Dortmund,0.3412969283276451,0.24096385542168675,0.4484304932735426,0.33113400291256234,0.23378858518886927,0.4350774118985684
Leicester - Atl. Madrid,341,282,-119,2017,Leicester,Atl. Madrid,0.22675736961451248,0.2617801047120419,0.54337899543379,0.21974391945423197,0.25368342533852434,0.5265726552072438
