season,round,tie,winner,pk,agr,aet,result
2011,first,inter-bayern,inter,False,True,False,"inter (3-3) bayern, inter won on away goals"
2011,first,lyon-madrid,madrid,False,False,False,lyon (1-4) madrid
2011,first,marseille-united,united,False,False,False,marseille (1-2) united
2011,first,milan-tottenham,tottenham,False,False,False,milan (0-1) tottenham
2011,first,roma-shakhtar,shakhtar,False,False,False,roma (2-6) shakhtar
2011,first,valencia-schalke,schalke,False,False,False,valencia (2-4) schalke
2011,qtr,barcelona-shakhtar,barcelona,False,False,False,barcelona (6-1) shakhtar
2011,qtr,chelsea-united,united,False,False,False,chelsea (1-3) united
2011,qtr,inter-schalke,schalke,False,False,False,inter (3-7) schalke
2011,qtr,madrid-tottenham,madrid,False,False,False,madrid (5-0) tottenham
2011,semi,madrid-barcelona,barcelona,False,False,False,madrid (1-3) barcelona
2011,semi,schalke-united,united,False,False,False,schalke (1-6) united
2012,first,basel-bayern,bayern,False,False,False,basel (1-7) bayern
2012,first,cska-madrid,madrid,False,False,False,cska (2-5) madrid
2012,first,leverkusen-barcelona,barcelona,False,False,False,leverkusen (2-10) barcelona
2012,first,lyon-apoel,apoel,True,False,True,"lyon (1-1 aet) apoel, apoel won on penalties"
2012,first,marseille-inter,marseille,False,True,False,"marseille (2-2) inter, marseille won on away goals"
2012,first,milan-arsenal,milan,False,False,False,milan (4-3) arsenal
2012,first,napoli-chelsea,chelsea,False,False,True,napoli (4-5 aet) chelsea
2012,first,zenit-benfica,benfica,False,False,False,zenit (3-4) benfica
2012,qtr,apoel-madrid,madrid,False,False,False,apoel (2-8) madrid
2012,qtr,benfica-chelsea,chelsea,False,False,False,benfica (1-3) chelsea
2012,qtr,marseille-bayern,bayern,False,False,False,marseille (0-4) bayern
2012,qtr,milan-barcelona,barcelona,False,False,False,milan (1-3) barcelona
2012,semi,barcelona-chelsea,barcelona,False,False,False,barcelona (3-2) chelsea
2012,semi,bayern-madrid,bayern,True,False,True,"bayern (3-3 aet) madrid, bayern won on penalties"
2013,first,arsenal-bayern,bayern,False,True,False,"arsenal (3-3) bayern, bayern won on away goals"
2013,first,celtic-juventus,juventus,False,False,False,celtic (0-5) juventus
2013,first,galatasaray-schalke,galatasaray,False,False,False,galatasaray (4-3) schalke
2013,first,madrid-united,madrid,False,False,False,madrid (3-2) united
2013,first,milan-barcelona,barcelona,False,False,False,milan (2-4) barcelona
2013,first,porto-malaga,malaga,False,False,False,porto (1-2) malaga
2013,first,shakhtar-dortmund,dortmund,False,False,False,shakhtar (2-5) dortmund
2013,first,valencia-psg,psg,False,False,False,valencia (2-3) psg
2013,qtr,bayern-juventus,bayern,False,False,False,bayern (4-0) juventus
2013,qtr,madrid-galatasaray,madrid,False,False,False,madrid (5-3) galatasaray
2013,qtr,malaga-dortmund,dortmund,False,False,False,malaga (2-3) dortmund
2013,qtr,psg-barcelona,barcelona,False,True,False,"psg (3-3) barcelona, barcelona won on away goals"
2013,semi,bayern-barcelona,bayern,False,False,False,bayern (7-0) barcelona
