team,fbrefid,matchclub,matchcountry
Shakhtar Donetsk,e89d5a28,FC Shakhtar Donetsk,Ukraine
Shakhtar Donetsk (Ukr),e89d5a28,FC Shakhtar Donetsk,Ukraine
Shakhtar Karagandy (Kaz),a8ba56e5,FC Shakhter Karagandy,Kazakhstan
Shakhtyor Soligorsk (Blr),7517d495,FC Shakhtyor Soligorsk,Belarus
Shamrock Rovers (Irl),f082c4f3,Shamrock Rovers FC,Ireland
Sheriff Tiraspol (Mda),50995c1e,FC Sheriff Tiraspol,Moldova
Shirak Gyumri (Arm),8771d9cd,FC Shirak,Armenia
Shkendija (Mkd),c480c810,FK Shkëndija,North Macedonia
Shkupi (Mkd),7416e9cd,FK Shkupi,North Macedonia
Shmona (Isr),4b238d92,Hapoel Ironi Kiryat Shmona FC,Israel
Sigma Olomouc (Cze),41c6978d,SK Sigma Olomouc,Czech Republic
Sileks (Mkd),0a6448a7,FK Sileks,North Macedonia
Sillamae (Est),7bc6abf1,JK Sillamäe Kalev,Estonia
Sion,2eaa8331,FC Sion,Switzerland
Sion (Sui),2eaa8331,FC Sion,Switzerland
Siroki Brijeg (Bih),584d189a,NK Široki Brijeg,Bosnia and Herzegovina
SJK (Fin),c889f292,Seinäjoen SJK,Finland
Skenderbeu (Alb),df526548,KF Skënderbeu Korçë,Albania
Skonto (Lat),89873a40,Skonto FC,Latvia
Slask Wroclaw (Pol),c582b57f,WKS Śląsk Wrocław,Poland
Slavia Prague,111cbfb1,SK Slavia Prague,Czech Republic
Slavia Prague (Cze),111cbfb1,SK Slavia Prague,Czech Republic
Slavia Sofia (Bul),b35f18af,PFC Slavia Sofia,Bulgaria
Sliema (Mlt),7465f27b,Sliema Wanderers FC,Malta
Sligo Rovers (Irl),0baacc84,Sligo Rovers FC,Ireland
Sloboda (Bih),a3548289,FK Sloboda Tuzla,Bosnia and Herzegovina
Slovan Bratislava (Svk),ae7f2f70,ŠK Slovan Bratislava,Slovakia
Sonderjyske (Den),7700eac9,SønderjyskE Fodbold,Denmark
Southampton (Eng),33c895d4,Southampton FC,England
Sp. Subotica (Srb),6d139ec5,FK Spartak Subotica,Serbia
Sparta Prague,ecb862be,AC Sparta Prague,Czech Republic
Sparta Prague (Cze),ecb862be,AC Sparta Prague,Czech Republic
Spartak Moscow,8c635914,FC Spartak Moscow,Russia
Spartak Moscow (Rus),8c635914,FC Spartak Moscow,Russia
Spartaks (Lat),654ac5a4,FK Spartaks Jūrmala,Latvia
Speranta Nisporeni (Mda),78b01d1b,Speranța Nisporeni,Moldova
Sporting,13dc44fd,Sporting CP,Portugal
Sporting (Por),13dc44fd,Sporting CP,Portugal
St Etienne,d298ef2c,AS Saint-Étienne,France
St Etienne (Fra),d298ef2c,AS Saint-Étienne,France
St Johnstone (Sco),dd289621,St Johnstone FC,Scotland
St Josephs,bb780485,St. Joseph's FC,Gibraltar
St Josephs (Gib),bb780485,St. Joseph's FC,Gibraltar
St. Gallen (Sui),cdaf4e6d,FC St. Gallen,Switzerland
St. Liege (Bel),33c6b26e,Standard Liège,Belgium
St. Patricks (Irl),8a814429,St Patrick's Athletic FC,Ireland
St. Polten (Aut),f722bd04,SKN St. Pölten,Austria
Stabaek (Nor),c2153ae4,Stabæk Fotball,Norway
Stjarnan (Ice),f13065a8,Stjarnan,Iceland
Strasbourg (Fra),c0d3eab4,RC Strasbourg Alsace,France
Stromsgodset (Nor),90eb0dcc,Strømsgodset Toppfotball,Norway
Stumbras (Ltu),31ef340d,FC Stumbras,Lithuania
Sturm Graz (Aut),3f4fe568,SK Sturm Graz,Austria
Suduva (Ltu),9e3153f3,FK Sūduva Marijampolė,Lithuania
Sutjeska (Mne),55ff3845,FK Sutjeska Nikšić,Montenegro
Targu Mures (Rou),c7d6f62e,ASA Târgu Mureș,Romania
Teuta (Alb),2b924bc5,KF Teuta Durrës,Albania
Thun (Sui),9ae758c2,FC Thun,Switzerland
Titograd (Mne),8dc7bf66,OFK Titograd,Montenegro
TNS (Wal),fd12ff13,The New Saints FC,Wales
Tobol (Kaz),8c6383a1,FC Tobol,Kazakhstan
Torino,105360fe,Torino FC,Italy
Torino (Ita),105360fe,Torino FC,Italy
Torpedo Kutaisi (Geo),231f4a61,FC Torpedo Kutaisi,Georgia
Tottenham,361ca564,Tottenham Hotspur FC,England
Tottenham (Eng),361ca564,Tottenham Hotspur FC,England
Trabzonspor,c8ad3091,Trabzonspor,Turkey
Trabzonspor (Tur),c8ad3091,Trabzonspor,Turkey
Tre Fiori,017bcbe4,S.P. Tre Fiori,San Marino
Tre Fiori (Gr2),017bcbe4,S.P. Tre Fiori,San Marino
Tre Fiori (San),017bcbe4,S.P. Tre Fiori,San Marino
Tre Penne (Gr2),aaffe678,S.P. Tre Penne,San Marino
Tre Penne (San),aaffe678,S.P. Tre Penne,San Marino
Trencin (Svk),d8b8c85b,FK AS Trenčín,Slovakia
Trepca 89 (Kos),cc98b556,KF Trepça'89,Kosovo
Trnava (Svk),c16f1fe7,FC Spartak Trnava,Slovakia
Tromso (Nor),a3ee587a,Tromsø IL,Norway
Tskhinvali (Geo),e6561daf,FC Spartaki Tskhinvali,Georgia
Turnovo (Mkd),3927dae8,FK Turnovo,North Macedonia
Twente (Ned),a1f721d3,FC Twente,Netherlands
U Craiova (Rou),1eebf7c3,CS Universitatea Craiova,Romania
UC Dublin (Irl),04dcef70,University College Dublin AFC,Ireland
UE Engordany,b784c866,UE Engordany,Andorra
UE Engordany (And),b784c866,UE Engordany,Andorra
UE Santa Coloma (And),84a33cca,UE Santa Coloma,Andorra
Ufa (Rus),ec7fdeb7,FC Ufa,Russia
Ujpest (Hun),108607cf,Újpest FC,Hungary
Ulisses Yerevan (Arm),3bc8afc5,Ulisses FC,Armenia
Univ. Craiova (Rou),1eebf7c3,CS Universitatea Craiova,Romania
Urartu (Arm),f0e1ca42,FC Banants,Armenia
Utrecht (Ned),2a428619,FC Utrecht,Netherlands
Vaduz (Lie),b1b46fc3,FC Vaduz,Liechtenstein
Valencia,dcc91a7b,Valencia CF,Spain
Valencia (Esp),dcc91a7b,Valencia CF,Spain
Valletta (Mlt),3f53cc7a,Valletta FC,Malta
Valur (Ice),b838366a,Valur,Iceland
Vardar (Mkd),5b47810a,FK Vardar,North Macedonia
Vasas (Hun),bbb935cb,Vasas FC,Hungary
Ventspils (Lat),869a3b6a,FK Ventspils,Latvia
Veris Chisinau (Mda),33a249c1,FC Veris Chișinău,Moldova
Vestmannaeyjar (Ice),e0afb445,Íþróttabandalag Vestmannaeyja,Iceland
Viitorul Constanta (Rou),4fffe901,FC Viitorul Constanța,Romania
Vikingur (Fai),ea73b616,Víkingur Gøta,Faroe Islands
Vikingur Reykjavik (Ice),ead990c4,Knattspyrnufélagið Víkingur,Iceland
Villarreal,2a8183b3,Villarreal CF,Spain
Villarreal (Esp),2a8183b3,Villarreal CF,Spain
Vitebsk (Blr),3f2bd811,FC Vitebsk,Belarus
Vitesse (Ned),209d7fa2,Vitesse Arnhem,Netherlands
Vitoria Guimaraes (Por),3f319bc9,Vitória de Guimarães,Portugal
Vojvodina (Srb),278db974,FK Vojvodina,Serbia
Vorskla Poltava (Ukr),99f258c2,FC Vorskla Poltava,Ukraine
VPS (Fin),8b63ce55,Vaasan PS,Finland
VSS Kosice (Svk),f75c6442,MFK Košice,Slovakia
Waregem (Bel),ecd34b98,SV Zulte Waregem,Belgium
West Ham (Eng),7c21e445,West Ham United FC,England
Wolfsberger AC,426658a6,Wolfsberger AC,Austria
Wolfsberger AC (Aut),426658a6,Wolfsberger AC,Austria
Wolfsburg,4eaa11d7,VfL Wolfsburg,Germany
Wolves,8cec06e1,Wolverhampton Wanderers FC,England
Wolves (Eng),8cec06e1,Wolverhampton Wanderers FC,England
Yeni Malatyaspor (Tur),4cc7a87b,Yeni Malatyaspor,Turkey
Young Boys,4b682260,BSC Young Boys,Switzerland
Young Boys (Sui),4b682260,BSC Young Boys,Switzerland
Zaglebie (Pol),3458af25,KGHM Zagłębie Lubin,Poland
Zalgiris (Ltu),4c6489de,VMFD Žalgiris Vilnius,Lithuania
Zaria Balti (Mda),99a0526b,FC Zaria Bălți,Moldova
Zawisza (Pol),25a0a787,SP Zawisza Bydgoszcz,Poland
Zeljeznicar (Bih),ee945014,FK Željezničar Sarajevo,Bosnia and Herzegovina
Zenit,98ce363d,FC Zenit Saint Petersburg,Russia
Zenit (Rus),98ce363d,FC Zenit Saint Petersburg,Russia
Zestafoni (Geo),c1322cab,FC Zestafoni,Georgia
Zeta (Mne),bda134f7,FK Zeta,Montenegro
Zhodino (Blr),f7e8060a,FC Torpedo-BelAZ Zhodino,Belarus
Zilina (Svk),e5dea1f1,MŠK Žilina,Slovakia
Zimbru Chisinau (Mda),24cd860c,FC Zimbru Chișinău,Moldova
Zira (Aze),ffb7956e,Zira FK,Azerbaijan
Zrinjski (Bih),2a6cfcb2,HŠK Zrinjski Mostar,Bosnia and Herzegovina
Zurich,22a5a99c,FC Zürich,Switzerland
Zurich (Sui),22a5a99c,FC Zürich,Switzerland
Zwolle (Ned),e3db180b,PEC Zwolle,Netherlands
