season,round,tie,t1win,made_minute,away,t1goaldiff,t1awaygoaldiff,neutral,pregameodds,pregameodds2,pregameodds3
2008,first,arsenal-milan,1,1,,0,0,0.38858431516473496,0.5415980140780151,0.33204010330577244,0.5380965080536697
2008,first,arsenal-milan,1,2,,0,0,0.3859724975861159,0.5382076350535648,0.32773392425043396,0.5353086121381018
2008,first,arsenal-milan,1,3,,0,0,0.3835079813997577,0.5350735087595282,0.32385513037339864,0.5327283804504934
2008,first,arsenal-milan,1,4,,0,0,0.38118647267435285,0.5321891995398493,0.3203841466718324,0.5303505785114677
2008,first,arsenal-milan,1,5,,0,0,0.37900372879697397,0.5295480836904138,0.31730219958721845,0.5281698638775711
2008,first,arsenal-milan,1,6,,0,0,0.3769555605968853,0.5271433801619554,0.3145913069357124,0.526180803028981
2008,first,arsenal-milan,1,7,,0,0,0.37503783370870225,0.5249681772148923,0.3122342552609469,0.5243778860863885
2008,first,arsenal-milan,1,8,,0,0,0.3732464692621829,0.5230154553835967,0.31021456733374875,0.522755539550823
2008,first,arsenal-milan,1,9,,0,0,0.37157744397931797,0.5212781071017418,0.30851646210166517,0.5213081372544995
2008,first,arsenal-milan,1,10,,0,0,0.3700267897530547,0.519748953329946,0.30712480902335876,0.5200300097035254
2008,first,arsenal-milan,1,11,,0,0,0.36859059277597633,0.5184207575130255,0.30602507840570453,0.5189154519848579
2008,first,arsenal-milan,1,12,,0,0,0.3672649922815732,0.5172862371777254,0.305203289090621,0.5179587304006175
2008,first,arsenal-milan,1,13,,0,0,0.3660461789554001,0.5163380734635573,0.3046459546095911,0.5171540879829883
2008,first,arsenal-milan,1,14,,0,0,0.364930393068411,0.5155689188599942,0.3043400287316003,0.5164957490327213
2008,first,arsenal-milan,1,15,,0,0,0.36391392238009884,0.5149714034032258,0.3042728511700301,0.5159779228138661
2008,first,arsenal-milan,1,16,,0,0,0.36299309985473255,0.5145381395653931,0.3044320940813393,0.5155948065269537
2008,first,arsenal-milan,1,17,,0,0,0.3621643012299633,0.5142617260489908,0.3048057098789034,0.5153405876725446
2008,first,arsenal-milan,1,18,,0,0,0.36142394247335524,0.5141347506791984,0.30538188079529577,0.5152094459069342
2008,first,arsenal-milan,1,19,,0,0,0.3607684771589657,0.5141497925674563,0.30614897055215007,0.5151955544819489
2008,first,arsenal-milan,1,20,,0,0,0.3601943937929366,0.5142994237007757,0.30709547843546037,0.5152930813512157
2008,first,arsenal-milan,1,21,,0,0,0.3596982131141483,0.5145762100931498,0.3082099960231056,0.5154961900160828
2008,first,arsenal-milan,1,22,,0,0,0.3592764853933115,0.5149727126180962,0.309481166768223,0.5157990401755528
2008,first,arsenal-milan,1,23,,0,0,0.3589257877514109,0.5154814876248418,0.31089764860485347,0.5161957882361566
2008,first,arsenal-milan,1,24,,0,0,0.35864272151615484,0.5160950874250051,0.31244807970942656,0.5166805877296898
2008,first,arsenal-milan,1,25,,0,0,0.3584239096330073,0.5168060607218368,0.31412104752181175,0.5172475896791389
