hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Bayern Munich,Besiktas,1,2018,bayern-besiktas,0.8592133609,0.1011400643,0.03964657481
Besiktas,Bayern Munich,2,2018,bayern-besiktas,0.1101675603,0.1631291847,0.726703255
Chelsea,Barcelona,1,2018,chelsea-barcelona,0.2763700822,0.2912642782,0.4323656396
Barcelona,Chelsea,2,2018,chelsea-barcelona,0.6554072074,0.2096127055,0.1349800871
Juventus,Tottenham,1,2018,juventus-tottenham,0.4202983307,0.3214864715,0.2582151978
Tottenham,Juventus,2,2018,juventus-tottenham,0.4324595625,0.2788063082,0.2887341293
Real Madrid,Paris SG,1,2018,madrid-psg,0.4317994392,0.25977238989999996,0.3084281709
Paris SG,Real Madrid,2,2018,madrid-psg,0.543667887,0.2121731086,0.24415900440000002
FC Porto,Liverpool,1,2018,porto-liverpool,0.2701510513,0.2779140125,0.45193493619999997
Liverpool,FC Porto,2,2018,porto-liverpool,0.673796345,0.20607705489999997,0.1201266001
Sevilla,Manchester Utd,1,2018,sevilla-united,0.3608086789,0.2986385681,0.34055275310000005
Manchester Utd,Sevilla,2,2018,sevilla-united,0.5923801657,0.23826251010000002,0.16935732420000002
Shakhtar Donetsk,AS Roma,1,2018,shakhtar-roma,0.372964422,0.29033158600000003,0.3367039921
AS Roma,Shakhtar Donetsk,2,2018,shakhtar-roma,0.5864484349,0.22402529350000003,0.18952627170000003
Barcelona,AS Roma,1,2018,barcelona-roma,0.7942878997,0.1378174493,0.06789465094
AS Roma,Barcelona,2,2018,barcelona-roma,0.20637762710000002,0.2203851583,0.5732372146
Juventus,Real Madrid,1,2018,juventus-madrid,0.3242303412,0.3002132789,0.37555637979999995
Real Madrid,Juventus,2,2018,juventus-madrid,0.5897919067,0.22058359730000002,0.189624496
Liverpool,Manchester City,1,2018,liverpool-city,0.31491078699999997,0.2696749833,0.41541422969999997
Manchester City,Liverpool,2,2018,liverpool-city,0.6529025265,0.1835759971,0.1635214764
Sevilla,Bayern Munich,1,2018,sevilla-bayern,0.1644077802,0.21908722170000003,0.6165049981
Bayern Munich,Sevilla,2,2018,sevilla-bayern,0.7649480797,0.1426858743,0.092366046
Bayern Munich,Real Madrid,1,2018,bayern-madrid,0.4873308997,0.2388876959,0.2737814043
Real Madrid,Bayern Munich,2,2018,bayern-madrid,0.40706421649999996,0.2378688209,0.3550669626
Liverpool,AS Roma,1,2018,liverpool-roma,0.6423208378,0.211442195,0.1462369672
AS Roma,Liverpool,2,2018,liverpool-roma,0.3678393609,0.24068501399999997,0.3914756251
Ajax,Real Madrid,1,2019,ajax-madrid,0.2913008779,0.2657621708,0.44293695130000005
Real Madrid,Ajax,2,2019,ajax-madrid,0.5498858644,0.23863359620000002,0.2114805393
Atl. Madrid,Juventus,1,2019,atletico-juventus,0.33485193620000003,0.33485193620000003,0.3302961276
Juventus,Atl. Madrid,2,2019,atletico-juventus,0.5542576135,0.26823001690000003,0.1775123695
Liverpool,Bayern Munich,1,2019,liverpool-bayern,0.42247136960000004,0.2780055851,0.2995230453
Bayern Munich,Liverpool,2,2019,liverpool-bayern,0.4684862832,0.27372232280000003,0.257791394
Lyon,Barcelona,1,2019,lyon-barcelona,0.2049985831,0.24810084920000003,0.5469005677000001
Barcelona,Lyon,2,2019,lyon-barcelona,0.7836116665,0.1347473139,0.0816410196
AS Roma,FC Porto,1,2019,roma-porto,0.4607703281,0.28459343789999997,0.25463623399999996
FC Porto,AS Roma,2,2019,roma-porto,0.5430629958,0.2373280327,0.21960897149999997
Schalke,Manchester City,1,2019,schalke-city,0.09003438238,0.1729692794,0.7369963381999999
Manchester City,Schalke,2,2019,schalke-city,0.8343410451000001,0.11513994720000001,0.05051900777
Tottenham,Dortmund,1,2019,tottenham-dortmund,0.4622222222,0.28888888890000003,0.2488888889
Dortmund,Tottenham,2,2019,tottenham-dortmund,0.47383196590000004,0.2591467052,0.2670213289
Manchester Utd,Paris SG,1,2019,united-psg,0.4125931688,0.2786189502,0.3087878811
Paris SG,Manchester Utd,2,2019,united-psg,0.6480031944,0.2072214204,0.1447753852
