hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Manchester Utd,AC Milan,2,2010,milan-united,0.5528988603,0.2554123545,0.19168878530000003
Olympiakos Piraeus,Bordeaux,1,2010,olympiacos-bordeaux,0.3160918364,0.3058623272,0.3780458364
Bordeaux,Olympiakos Piraeus,2,2010,olympiacos-bordeaux,0.6185406067,0.2394457643,0.142013629
FC Porto,Arsenal,1,2010,porto-arsenal,0.4071152531,0.2982951383,0.2945896086
Arsenal,FC Porto,2,2010,porto-arsenal,0.5918525913,0.2476065966,0.1605408122
Stuttgart,Barcelona,1,2010,stuttgart-barcelona,0.1628925878,0.2481766652,0.588930747
Barcelona,Stuttgart,2,2010,stuttgart-barcelona,0.7793788634000001,0.15138071990000002,0.0692404167
Arsenal,Barcelona,1,2010,arsenal-barcelona,0.3147675013,0.2791687958,0.4060637029
Barcelona,Arsenal,2,2010,arsenal-barcelona,0.7050753881,0.18066863260000002,0.11425597929999999
Bayern Munich,Manchester Utd,1,2010,bayern-united,0.3069417966,0.2945497365,0.39850846700000003
Manchester Utd,Bayern Munich,2,2010,bayern-united,0.5470307638,0.2445279825,0.20844125379999998
Inter,CSKA Moscow,1,2010,inter-cska,0.6695420002,0.2215832064,0.1088747935
CSKA Moscow,Inter,2,2010,inter-cska,0.2861811965,0.2897034266,0.4241153768
Lyon,Bordeaux,1,2010,lyon-bordeaux,0.4576853411,0.2974232816,0.24489137730000002
Bordeaux,Lyon,2,2010,lyon-bordeaux,0.4590254956,0.2797611009,0.2612134036
Bayern Munich,Lyon,1,2010,bayern-lyon,0.5693465486,0.2564990887,0.17415436280000002
Lyon,Bayern Munich,2,2010,bayern-lyon,0.3959464989,0.27997400370000003,0.32407949739999997
Inter,Barcelona,1,2010,inter-barcelona,0.3025718547,0.2922675501,0.40516059520000003
Barcelona,Inter,2,2010,inter-barcelona,0.6739939101000001,0.1853814291,0.1406246608
Arsenal,Barcelona,1,2011,arsenal-barcelona,0.2420441841,0.2497078522,0.5082479637
Barcelona,Arsenal,2,2011,arsenal-barcelona,0.7236966912,0.1645401726,0.1117631361
FC Copenhagen,Chelsea,1,2011,copenhagen-chelsea,0.21616561609999999,0.29222388850000003,0.4916104954
Chelsea,FC Copenhagen,2,2011,copenhagen-chelsea,0.7356646726,0.17379135710000002,0.09054397037999999
Inter,Bayern Munich,1,2011,inter-bayern,0.35981983240000004,0.294805657,0.3453745106
Bayern Munich,Inter,2,2011,inter-bayern,0.5404888543999999,0.2367178629,0.22279328269999998
Lyon,Real Madrid,1,2011,lyon-madrid,0.22166420469999998,0.2753030647,0.5030327306
Real Madrid,Lyon,2,2011,lyon-madrid,0.7129402415,0.18376628890000002,0.1032934696
Marseille,Manchester Utd,1,2011,marseille-united,0.3174402273,0.30417102170000004,0.378388751
Manchester Utd,Marseille,2,2011,marseille-united,0.6149845368,0.2416858701,0.1433295931
AC Milan,Tottenham,1,2011,milan-tottenham,0.5563181053,0.2575890314,0.1860928633
Tottenham,AC Milan,2,2011,milan-tottenham,0.411880065,0.2798828929,0.3082370421
AS Roma,Shakhtar Donetsk,1,2011,roma-shakhtar,0.4320314171,0.2929253261,0.2750432568
Shakhtar Donetsk,AS Roma,2,2011,roma-shakhtar,0.5377652643,0.2474249193,0.21480981629999998
Valencia,Schalke,1,2011,valencia-schalke,0.5634432407,0.2565685535,0.1799882058
Schalke,Valencia,2,2011,valencia-schalke,0.3615875277,0.2977108667,0.3407016056
Barcelona,Shakhtar Donetsk,1,2011,barcelona-shakhtar,0.7895268648999999,0.1439866623,0.06648647283
Shakhtar Donetsk,Barcelona,2,2011,barcelona-shakhtar,0.2406325616,0.2555908019,0.5037766365999999
Chelsea,Manchester Utd,1,2011,chelsea-united,0.449366366,0.2948966777,0.2557369563
Manchester Utd,Chelsea,2,2011,chelsea-united,0.42081294799999996,0.2860510976,0.2931359545
Inter,Schalke,1,2011,inter-schalke,0.5622628837,0.2699298975,0.1678072187
Schalke,Inter,2,2011,inter-schalke,0.37174863560000004,0.259407015,0.3688443494
