season	round	tie	game	minute	away	extra	shootout	note
			2	57				
				70				
				72				
				7	a			
				90+2	a			
	semi	bayern-barcelona	1	25				
				82				
				49				
				73				
			2	49	a			
				72	a			
				76	a			
		dortmund-madrid	1	8				
				50				
				55				
				66				
				43	a			
			2	83				
				88				
2012	first	lyon-apoel	1	58				
			2	9				
				pk			apoel 4-3	
		leverkusen-barcelona	1	52				
				41	a			
				55	a			
				88	a			
			2	25				
				43				
				49				
				58				
				85				
				55				
				62				
				90+1	a			
		zenit-benfica	1	27				
				88				
				71				
				21	a			
				87	a			
			2	45+1				
				90+3				
		milan-arsenal	1	15				
				38				
				49				
				79				
			2	7				
				26				
				43				
		cska-madrid	1	90+3				
				28	a			
			2	26				
				55				
				90+4				
				70				
				77	a			
		napoli-chelsea	1	38				
				65				
				45+2				
				27	a			
			2	28				
				47				
				75				
				55	a			
				105		et		
		marseille-inter	1	90+3				
			2	75				
				90+6				
				90+2	a			
		basel-bayern	1	87				
			2	11				
				81				
				42				
				44				
				50				
				61				
				67				
	qtr	apoel-madrid	1	74	a			
				90	a			
				82	a			
			2	26				
				76				
				37				
				80				
				84				
				67	a			
				82	a			
		benfica-chelsea	1	75	a			
			2	21				
				90+3				
				85	a			
		marseille-bayern	1	44	a			
				69	a			
			2	13				
				37				
		milan-barcelona	1					
			2	11				
				41				
				53				
				32	a			
	semi	bayern-madrid	1	17				
				90				
				53	a			
			2	6				
				14				
				27	a			
				pk	a		bayern 3-1	
		barcelona-chelsea	1	45+2				
			2	35				
				43				
				45+1	a			
				90+2	a			
2016	first	kyiv-city	1	59				
				15	a			
				40	a			
				90	a			
			2					
2011	first	milan-tottenham	1	80	a			
			2					
		valencia-schalke	1	17				
				64	a			
			2	40				
				90+4				
				52				
				17	a			
		roma-shakhtar	1	28				
				61				
				29	a			
				36	a			
				41	a			
			2	18				
				58				
				87				
		arsenal-barcelona	1	78				
				83				
				26	a			
			2	45+3				
				71				
				69				
				53	a			
		copenhagen-chelsea	1	17	a			
				54	a			
			2					
		lyon-madrid	1	83				
				65	a			
			2	37				
				66				
				76				
		marseille-united	1					
			2	5				
				75				
				82	a			
		inter-bayern	1	90	a			
			2	21				
				31				
				4	a			
				63	a			
				88	a			
	qtr	madrid-tottenham	1	4				
				57				
				72				
				87				
			2	50	a			
		inter-schalke	1	1				
				34				
				17	a			
				40	a			
				75	a			
				53	a			
				57	a			
			2	45				
				81				
				49	a			
		chelsea-united	1	24	a			
			2	43				
				78				
				77	a			
		barcelona-shakhtar	1	2				
				34				
				53				
				61				
				86				
				60	a			
			2	43	a			
	semi	schalke-united	1	67	a			
				69	a			
			2	26				
				31				
				72				
				76				
				35	a			
		madrid-barcelona	1	76	a			
				87	a			
			2	54				
				64	a			
2010	first	lyon-madrid	1	47				
			2	6				
				75	a			
		milan-united	1	3				
				85				
				36	a			
				66	a			
				74	a			
			2	13				
				46				
				59				
				88				
		porto-arsenal	1	11				
				51				
				18	a			
			2	10				
				25				
				90+1				
				63				
				66				
		bayern-fiorentina	1	45+3				
				89				
				50	a			
			2	28				
				54				
				64				
				60	a			
				65	a			
		stuttgart-barcelona	1	25				
				52	a			
			2	13				
				60				
				22				
				89				
		olympiacos-bordeaux	1	45+2	a			
			2	5				
				88				
				65	a			
		cska-sevilla	1	66				
				25	a			
			2	41				
				39	a			
				55	a			
		inter-chelsea	1	3				
				55				
				51	a			
			2	78	a			
	qtr	lyon-bordeaux	1	10				
				77				
				32				
				14	a			
			2	45				
		bayern-united	1	77				
				90+2				
				2	a			
			2	3				
				7				
				41				
				43	a			
				74	a			
		arsenal-barcelona	1	69				
				85				
				46	a			
				59	a			
			2	21				
				37				
				42				
				88				
				18	a			
		inter-cska	1	65				
			2	6	a			
	semi	inter-barcelona	1	30				
				48				
				61				
				19	a			
			2	84				
		bayern-lyon	1	69				
			2	36	a			
				67	a			
				78	a			
2009	first	atletico-porto	1	3				
				45+2				
				22	a			
				72	a			
			2					
		lyon-barcelona	1	7				
				67	a			
			2	25				
				27				
