hometeam,awayteam,season,homewin,draw,awaywin
Bayern Munich ,Barcelona,2015,0.3814608141,0.2570054292,0.3615337567
Barcelona ,Bayern Munich,2015,0.5571545248,0.2449145405,0.1979309347
Juventus ,Real Madrid,2015,0.3568257145,0.3061722219,0.3370020637
Monaco ,Juventus,2015,0.231816525,0.3143916925,0.4537917825
Real Madrid ,Atl. Madrid,2015,0.4834566045,0.2835522607,0.2329911347
Barcelona ,Paris SG,2015,0.6701514572,0.1889182707,0.140930272
Bayern Munich ,FC Porto,2015,0.7126536339,0.1801185817,0.1072277844
FC Porto ,Bayern Munich,2015,0.2347549537,0.2968747261,0.4683703202
Paris SG ,Barcelona,2015,0.2160975711,0.2681764872,0.5157259417
Atl. Madrid ,Real Madrid,2015,0.3284988952,0.2971651544,0.3743359504
Juventus ,Monaco,2015,0.6361336458,0.2461713112,0.117695043
Barcelona ,Manchester City,2015,0.7072237515,0.1688429398,0.1239333087
Dortmund ,Juventus,2015,0.4281997625,0.2875968554,0.2842033822
Atl. Madrid ,Bayer Leverkusen,2015,0.5507127787,0.2672527804,0.182034441
Monaco ,Arsenal,2015,0.2798649234,0.268950971,0.4511841056
Bayern Munich ,Shakhtar Donetsk,2015,0.8322743514,0.1163178612,0.05140778741
Chelsea ,Paris SG,2015,0.4342087283,0.2997787815,0.2660124902
FC Porto ,Basel,2015,0.6716314841,0.2126383263,0.1157301896
Real Madrid ,Schalke,2015,0.8011909881,0.1304856558,0.06832335607
Arsenal ,Monaco,2015,0.6014059911,0.25409894,0.1444950689
Bayer Leverkusen ,Atl. Madrid,2015,0.3265411441,0.308862165,0.364596691
Juventus ,Dortmund,2015,0.4966738519,0.2864196111,0.216906537
Manchester City ,Barcelona,2015,0.249089446,0.2640212384,0.4868893156
Basel ,FC Porto,2015,0.2631516728,0.304527722,0.4323206053
Schalke ,Real Madrid,2015,0.1397123754,0.2176106976,0.642676927
Paris SG ,Chelsea,2015,0.3627584907,0.3165245655,0.3207169438
Shakhtar Donetsk ,Bayern Munich,2015,0.1048621798,0.1887107205,0.7064270997
Chelsea ,Atl. Madrid,2014,0.4027510134,0.2967639046,0.3004850821
Bayern Munich ,Real Madrid,2014,0.5508502267,0.2229970771,0.2261526962
Real Madrid ,Bayern Munich,2014,0.4291899693,0.2626736424,0.3081363882
Atl. Madrid ,Chelsea,2014,0.5404470503,0.2758370511,0.1837158986
Atl. Madrid ,Barcelona,2014,0.2592608639,0.2717819852,0.4689571509
Bayern Munich ,Manchester Utd,2014,0.7391034849,0.1527911738,0.1081053412
Chelsea ,Paris SG,2014,0.5238858609,0.2527519504,0.2233621887
Dortmund ,Real Madrid,2014,0.3257007501,0.2487169364,0.4255823135
Paris SG ,Chelsea,2014,0.4605832673,0.2859740883,0.2534426444
Real Madrid ,Dortmund,2014,0.690634489,0.1879478642,0.1214176468
Barcelona ,Atl. Madrid,2014,0.6176226688,0.2267715127,0.1556058185
Manchester Utd ,Bayern Munich,2014,0.1489941191,0.19999833,0.651007551
Dortmund ,Zenit Petersburg,2014,0.7126331192,0.1699303071,0.1174365737
Manchester Utd ,Olympiakos Piraeus,2014,0.6508011274,0.2083532816,0.140845591
Chelsea ,Galatasaray,2014,0.6797723837,0.2043427767,0.1158848395
Real Madrid ,Schalke,2014,0.7578009748,0.1476398848,0.09455914038
Barcelona ,Manchester City,2014,0.5818402022,0.2081688754,0.2099909224
Paris SG ,Bayer Leverkusen,2014,0.6802137248,0.1985486214,0.1212376538
Atl. Madrid ,AC Milan,2014,0.6421634322,0.2159742485,0.1418623193
Bayern Munich ,Arsenal,2014,0.7354582632,0.1544937965,0.1100479402
Galatasaray ,Chelsea,2014,0.2720468758,0.2946476931,0.4333054311
Schalke ,Real Madrid,2014,0.1602051065,0.2270831816,0.6127117119
Olympiakos Piraeus ,Manchester Utd,2014,0.2950218279,0.2986981124,0.4062800597
Zenit Petersburg ,Dortmund,2014,0.2052791091,0.2463349309,0.54838596
AC Milan ,Atl. Madrid,2014,0.2428649717,0.2926262961,0.4645087322
Arsenal ,Bayern Munich,2014,0.1845712221,0.2335207676,0.5819080104
Bayer Leverkusen ,Paris SG,2014,0.283287274,0.2841254021,0.4325873239
Manchester City ,Barcelona,2014,0.3248800548,0.270733379,0.4043865661
Barcelona ,Bayern Munich,2013,0.4608523862,0.2414541469,0.2976934669
Real Madrid ,Dortmund,2013,0.6339516787,0.1880935978,0.1779547235
Dortmund ,Real Madrid,2013,0.3700670025,0.2722936183,0.3576393792
Bayern Munich ,Barcelona,2013,0.4739564516,0.2637443615,0.2622991869
Barcelona ,Paris SG,2013,0.6741589281,0.1934179762,0.1324230957
Juventus ,Bayern Munich,2013,0.3178928355,0.2863899419,0.3957172226
Dortmund ,Malaga,2013,0.7225974237,0.1814066848,0.09599589155
Galatasaray ,Real Madrid,2013,0.1938076057,0.2483159949,0.5578763994
Malaga ,Dortmund,2013,0.2922621149,0.281087387,0.4266504981
Real Madrid ,Galatasaray,2013,0.8157070318,0.1228356136,0.06145735463
Bayern Munich ,Juventus,2013,0.6020677194,0.2426128628,0.1553194178
Paris SG ,Barcelona,2013,0.2196550602,0.266026684,0.5143182558
Bayern Munich ,Arsenal,2013,0.7103645075,0.174953231,0.1146822615
Malaga ,FC Porto,2013,0.3423959525,0.2957537794,0.361850268
Barcelona ,AC Milan,2013,0.7465890928,0.1529148304,0.1004960768
Schalke ,Galatasaray,2013,0.566058145,0.233849162,0.200092693
Juventus ,Celtic,2013,0.6666864576,0.2092333186,0.1240802238
Paris SG ,Valencia,2013,0.4929641277,0.2745056234,0.2325302489
Dortmund ,Shakhtar Donetsk,2013,0.5730455973,0.2388129571,0.1881414456
Manchester Utd ,Real Madrid,2013,0.3192942516,0.2674201155,0.413285633
AC Milan ,Barcelona,2013,0.1577073738,0.2369514255,0.6053412006
Galatasaray ,Schalke,2013,0.4106866308,0.286496961,0.3028164082
Arsenal ,Bayern Munich,2013,0.2333809946,0.2666280078,0.4999909975
FC Porto ,Malaga,2013,0.5774949472,0.2559962122,0.1665088406
Real Madrid ,Manchester Utd,2013,0.6211223348,0.2010218776,0.1778557876
Shakhtar Donetsk ,Dortmund,2013,0.379941374,0.2841104637,0.3359481623
Celtic ,Juventus,2013,0.2081832276,0.2745864985,0.517230274
Valencia ,Paris SG,2013,0.3863341801,0.2945201929,0.319145627
Real Madrid ,Bayern Munich,2012,0.6266258331,0.2099104525,0.1634637143
Barcelona ,Chelsea,2012,0.7646020621,0.1436302834,0.09176765448
Chelsea ,Barcelona,2012,0.1948272789,0.2456736747,0.5594990465
Bayern Munich ,Real Madrid,2012,0.3627120821,0.2786820103,0.3586059076
Chelsea ,Benfica,2012,0.578362185,0.247808662,0.173829153
Real Madrid ,APOEL,2012,0.8819451142,0.08557957982,0.03247530595
Barcelona ,AC Milan,2012,0.7649552012,0.1500629265,0.08498187235
Bayern Munich ,Marseille,2012,0.6881212931,0.1946238464,0.1172548605
AC Milan ,Barcelona,2012,0.1963232189,0.2456583283,0.5580184529
Marseille ,Bayern Munich,2012,0.1958576725,0.2647908198,0.5393515077
APOEL ,Real Madrid,2012,0.09207938819,0.1876094832,0.7203111286
Benfica ,Chelsea,2012,0.4208494208,0.2895752896,0.2895752896
Chelsea ,Napoli,2012,0.5839615185,0.2254106431,0.1906278384
Real Madrid ,CSKA Moscow,2012,0.8632879079,0.09374301073,0.04296908139
Bayern Munich ,Basel,2012,0.7970024494,0.1321063827,0.07089116798
Inter ,Marseille,2012,0.4846110205,0.2747350161,0.2406539634
APOEL ,Lyon,2012,0.3300018238,0.2896346282,0.3803635479
