version,predset,minuteclean,rmserror
v2.1,predictions,186,0.5069883512723586
v2.1,predictions,187,0.492509359647448
v1,predictions,188,0.5054853373435308
v1,predictions,189,0.5052699244155268
v1,predictions,190,0.4930488126884377
v2.1,predictions,191,0.47718715621538
v2.1,predictions,192,0.4671309551800135
v2.1,predictions,193,0.4683112916620907
v2.1,predictions,194,0.4593943495348932
v2.1,predictions,195,0.4530569446611048
v2.1,predictions,196,0.4530569446611048
v2.1,predictions,197,0.4624383888045416
v2.1,predictions,198,0.46077117397198813
v2.1,predictions,199,0.4724054122786041
v2.1,predictions,200,0.47045388410003275
v2.2,predictions,201,0.4765180437121743
v2.1,predictions,202,0.4800257894539106
v2.1,predictions,203,0.46412844151165933
v1,predictions,204,0.47288611113666584
v1,predictions,205,0.47302866126786003
v1,predictions,206,0.47318279805065705
v1,predictions,207,0.4320756306219994
v1,predictions,208,0.431857159086837
v1,predictions,209,0.3672683312093864
