minuteclean,v1,v2.1,v2.2,v3
1,0.4109226141350511,0.4108760262643806,0.53759534537508,0.4121547499433982
2,0.4103383868829375,0.41022942284056235,0.5365453621142707,0.41132439270757887
3,0.4118218545982028,0.4109108974891213,0.5381872612098165,0.41191341660601616
4,0.4098477322829049,0.4089589311577979,0.5337116700530307,0.4102985873987216
5,0.4099443629212923,0.40991196552741255,0.5316208316418338,0.4101662958551711
6,0.4066891417328204,0.40573777071611505,0.5278705949561605,0.4080301573334687
7,0.4096315624579864,0.41001683861795657,0.5283847424434214,0.4109760773936238
8,0.4093151551624524,0.4093991223532854,0.526522166476303,0.41069518561698143
9,0.4091929922763355,0.40926272617505693,0.5236486859302434,0.410551420751451
10,0.40777591493549875,0.4077640998946029,0.5204727979504266,0.4093610670413947
11,0.40942316386085703,0.4093128751716269,0.5222812653715343,0.4103664734931553
12,0.4078398516529214,0.4078660309469997,0.5191287517781157,0.4089237493778696
13,0.4100231784730402,0.4108392820451851,0.5202470171708835,0.4109714873082366
14,0.4114926870868803,0.41338438864001914,0.5216654513882886,0.41240298013830146
15,0.4116733490680354,0.41403881454827957,0.5191586151078471,0.41269997634633676
16,0.4110677983478013,0.41323185186204053,0.5172868503677087,0.4109254787262657
17,0.4110995140380209,0.4126907951909117,0.517399561365488,0.41098207713889817
18,0.40884079064715123,0.4108971822650424,0.5146191098979658,0.40894769124645075
19,0.40844628567068675,0.41055421665466635,0.5130403956201708,0.40852857271964954
20,0.4066555857079709,0.4078950728834747,0.510200212706937,0.4065222251489961
21,0.407507140688308,0.4085293666307663,0.5099728057377614,0.4072271180766885
22,0.40693166546467235,0.40820459563642036,0.5091218472564552,0.4068302573991338
23,0.406174478081592,0.40735284988439036,0.5073514360002611,0.4061947400513056
24,0.4061369211393505,0.40760013482136087,0.5064055931424445,0.4061551635885596
25,0.40507686623907985,0.4065870545750487,0.5052435220617741,0.4050990171139925
26,0.40508107158564,0.4073034808361979,0.5064931410786528,0.40497712809103825
27,0.4044128897271337,0.405873947636744,0.5037802066245266,0.40298872853972395
28,0.40298707494253644,0.40449898193196093,0.5001497302915872,0.4011885337422994
29,0.4010298964020277,0.4021988563655961,0.4967934082291071,0.3991795960055
30,0.3971369349847135,0.39823567887033234,0.49304469641568205,0.3965034150871451
31,0.3956860561423379,0.396986229905472,0.49009435817217467,0.39432232621670776
32,0.3947988939940387,0.3962653620467403,0.48797530724846716,0.39374942510003585
33,0.3945831729743062,0.3961319461713412,0.48558848815254274,0.3936894962143889
34,0.39225977245247506,0.3937576737855485,0.485090550459232,0.39205223449751003
35,0.39249911953870836,0.3936011501173351,0.4826075683632393,0.39249437049131697
36,0.3920701134335593,0.3929155654907006,0.477406777157037,0.3920976954864692
37,0.3910070999320493,0.3915896087794616,0.47499281844820823,0.3912582930132703
38,0.3909535138864517,0.39145878153590397,0.47574515238037607,0.39108942686986103
39,0.3908813471226923,0.39143838339340226,0.4747315783362982,0.390621220087593
40,0.39365619787872247,0.39420308484327554,0.4756701470094322,0.3928612314188702
41,0.3941813383129007,0.39454581515281467,0.4774331758043484,0.3931337442592614
42,0.3930417839532358,0.3935632588564251,0.4723313430826919,0.39212236303906456
43,0.39290299470886575,0.3941112349686006,0.47011334356278167,0.3915763197666443
44,0.3915102067145461,0.3918723205219803,0.4678357649994374,0.38961869967380774
45,0.3838253927343994,0.3831592878980244,0.46255156678194603,0.3831721878372021
46,0.38378063557908,0.38320937395700555,0.4623999398472615,0.38276906108541353
47,0.38433826453270276,0.38418917016538334,0.46145793486535974,0.3831037233526717
48,0.3853406430814936,0.3856361251307053,0.461227434596131,0.3848391805196882
49,0.38311639838999434,0.38262472389119684,0.4559740005463692,0.3826736966941177
50,0.38144815962613166,0.38101506985626005,0.45374364079942886,0.38096391202130225
51,0.3817226717141153,0.3815128295777628,0.4536753669124015,0.38107117502173976
52,0.38329636796044186,0.3829694799671312,0.4538314713281202,0.38207766331734017
53,0.38391362712041777,0.38249068371947637,0.4521804441875383,0.38167908127336464
54,0.3849611532592141,0.3839112129672115,0.4518103290748513,0.38348422706169355
55,0.381867304113068,0.38053971857101965,0.44776884652472976,0.38052437082519447
56,0.3787986193843104,0.37712158885783736,0.4436243913850372,0.37770616393919487
57,0.37687465311321555,0.37488531324567004,0.4390938310797208,0.3749420836614944
58,0.3751099384510445,0.3737112481850014,0.43763855752219843,0.373629642653761
59,0.37471073474627137,0.3739290315819761,0.438230251037722,0.3736723634956845
60,0.37570240177431935,0.3751542668161297,0.43729128792025773,0.37537321274355784
61,0.37543543546782193,0.37463641502291506,0.4339460735592205,0.3749689719623557
62,0.3735186077852856,0.372943481516427,0.42857201343686707,0.3735092214110502
