version,predset,minuteclean,loglik
v3,predictions,170,-30.747714064551822
v3,predictions,171,-31.557143904561165
v3,predictions,172,-29.94067971766081
v3,predictions,173,-28.127687533544595
v3,predictions,174,-28.730654152136115
v3,predictions,175,-27.919674558402924
v3,predictions,176,-28.03799821239437
v3,predictions,177,-25.537585385741128
v3,predictions,178,-25.667757534405993
v3,predictions,179,-26.272492332103702
v3,predictions,180,0
v1,predictions,181,-13.660623090035525
v1,predictions,182,-13.397053661328403
v3,predictions,183,-13.564148066962927
v3,predictions,184,-11.320412492500536
v3,predictions,185,-11.308199151633563
v3,predictions,186,-10.719820136593901
v3,predictions,187,-10.05051126623692
v3,predictions,188,-10.054833830305983
v3,predictions,189,-10.073265150118141
v3,predictions,190,-9.223056567487856
v3,predictions,191,-9.212922280776938
v3,predictions,192,-8.581974167133868
v3,predictions,193,-8.52282190616292
v3,predictions,194,-8.452006497176557
v3,predictions,195,-6.918324136128041
v3,predictions,196,-6.834347545651015
v3,predictions,197,-6.802622665179969
v3,predictions,198,-6.610877739539866
v3,predictions,199,-6.608717134583754
v3,predictions,200,-6.6242905086710255
v3,predictions,201,-6.108951942739848
v3,predictions,202,-6.2680435040431846
v3,predictions,203,-5.537401160855797
v3,predictions,204,-5.524938330993957
v3,predictions,205,-5.5332631872793305
v3,predictions,206,-5.546016407727993
v3,predictions,207,-5.5571529617912345
v3,predictions,208,-5.58300071551552
v3,predictions,209,-4.874632954420556
v3,predictions,210,0
