code_string,szn,competition,sznurl,stage
cl,1990-1991,European Cup,https://fbref.com/en/comps/8/1934/1990-1991-European-Cup-Stats,knockout
el,1990-1991,UEFA Cup,https://fbref.com/en/comps/19/1962/1990-1991-UEFA-Cup-Stats,knockout
cl,1991-1992,European Cup,https://fbref.com/en/comps/8/1935/1991-1992-European-Cup-Stats,knockout
el,1991-1992,UEFA Cup,https://fbref.com/en/comps/19/1963/1991-1992-UEFA-Cup-Stats,knockout
cl,1992-1993,UEFA Champions League,https://fbref.com/en/comps/8/1936/1992-1993-Champions-League-Stats,knockout
el,1992-1993,UEFA Cup,https://fbref.com/en/comps/19/1964/1992-1993-UEFA-Cup-Stats,knockout
cl,1993-1994,UEFA Champions League,https://fbref.com/en/comps/8/1937/1993-1994-Champions-League-Stats,knockout
el,1993-1994,UEFA Cup,https://fbref.com/en/comps/19/1965/1993-1994-UEFA-Cup-Stats,knockout
cl,1994-1995,UEFA Champions League,https://fbref.com/en/comps/8/1938/1994-1995-Champions-League-Stats,knockout
el,1994-1995,UEFA Cup,https://fbref.com/en/comps/19/1966/1994-1995-UEFA-Cup-Stats,knockout
cl,1995-1996,UEFA Champions League,https://fbref.com/en/comps/8/1939/1995-1996-Champions-League-Stats,knockout
el,1995-1996,UEFA Cup,https://fbref.com/en/comps/19/1967/1995-1996-UEFA-Cup-Stats,knockout
cl,1996-1997,UEFA Champions League,https://fbref.com/en/comps/8/1940/1996-1997-Champions-League-Stats,knockout
el,1996-1997,UEFA Cup,https://fbref.com/en/comps/19/1968/1996-1997-UEFA-Cup-Stats,knockout
cl,1997-1998,UEFA Champions League,https://fbref.com/en/comps/8/1941/1997-1998-Champions-League-Stats,knockout
el,1997-1998,UEFA Cup,https://fbref.com/en/comps/19/1969/1997-1998-UEFA-Cup-Stats,knockout
cl,1998-1999,UEFA Champions League,https://fbref.com/en/comps/8/1942/1998-1999-Champions-League-Stats,knockout
el,1998-1999,UEFA Cup,https://fbref.com/en/comps/19/1970/1998-1999-UEFA-Cup-Stats,knockout
cl,1999-2000,UEFA Champions League,https://fbref.com/en/comps/8/43/1999-2000-Champions-League-Stats,knockout
cl,1999-2000,UEFA Champions League,https://fbref.com/en/comps/8/43/qual/1999-2000-Champions-League-Qualifying-Rounds,qualifying
el,1999-2000,UEFA Cup,https://fbref.com/en/comps/19/779/1999-2000-UEFA-Cup-Stats,knockout
el,1999-2000,UEFA Cup,https://fbref.com/en/comps/19/779/qual/1999-2000-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2000-2001,UEFA Champions League,https://fbref.com/en/comps/8/54/2000-2001-Champions-League-Stats,knockout
cl,2000-2001,UEFA Champions League,https://fbref.com/en/comps/8/54/qual/2000-2001-Champions-League-Qualifying-Rounds,qualifying
el,2000-2001,UEFA Cup,https://fbref.com/en/comps/19/778/2000-2001-UEFA-Cup-Stats,knockout
el,2000-2001,UEFA Cup,https://fbref.com/en/comps/19/778/qual/2000-2001-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2001-2002,UEFA Champions League,https://fbref.com/en/comps/8/73/2001-2002-Champions-League-Stats,knockout
cl,2001-2002,UEFA Champions League,https://fbref.com/en/comps/8/73/qual/2001-2002-Champions-League-Qualifying-Rounds,qualifying
el,2001-2002,UEFA Cup,https://fbref.com/en/comps/19/777/2001-2002-UEFA-Cup-Stats,knockout
el,2001-2002,UEFA Cup,https://fbref.com/en/comps/19/777/qual/2001-2002-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2002-2003,UEFA Champions League,https://fbref.com/en/comps/8/96/2002-2003-Champions-League-Stats,knockout
cl,2002-2003,UEFA Champions League,https://fbref.com/en/comps/8/96/qual/2002-2003-Champions-League-Qualifying-Rounds,qualifying
el,2002-2003,UEFA Cup,https://fbref.com/en/comps/19/776/2002-2003-UEFA-Cup-Stats,knockout
el,2002-2003,UEFA Cup,https://fbref.com/en/comps/19/776/qual/2002-2003-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2003-2004,UEFA Champions League,https://fbref.com/en/comps/8/128/2003-2004-Champions-League-Stats,knockout
cl,2003-2004,UEFA Champions League,https://fbref.com/en/comps/8/128/qual/2003-2004-Champions-League-Qualifying-Rounds,qualifying
el,2003-2004,UEFA Cup,https://fbref.com/en/comps/19/775/2003-2004-UEFA-Cup-Stats,knockout
el,2003-2004,UEFA Cup,https://fbref.com/en/comps/19/775/qual/2003-2004-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2004-2005,UEFA Champions League,https://fbref.com/en/comps/8/162/2004-2005-Champions-League-Stats,knockout
cl,2004-2005,UEFA Champions League,https://fbref.com/en/comps/8/162/qual/2004-2005-Champions-League-Qualifying-Rounds,qualifying
el,2004-2005,UEFA Cup,https://fbref.com/en/comps/19/774/2004-2005-UEFA-Cup-Stats,knockout
el,2004-2005,UEFA Cup,https://fbref.com/en/comps/19/774/qual/2004-2005-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2005-2006,UEFA Champions League,https://fbref.com/en/comps/8/200/2005-2006-Champions-League-Stats,knockout
cl,2005-2006,UEFA Champions League,https://fbref.com/en/comps/8/200/qual/2005-2006-Champions-League-Qualifying-Rounds,qualifying
el,2005-2006,UEFA Cup,https://fbref.com/en/comps/19/773/2005-2006-UEFA-Cup-Stats,knockout
el,2005-2006,UEFA Cup,https://fbref.com/en/comps/19/773/qual/2005-2006-UEFA-Cup-Qualifying-Rounds,qualifying
cl,2006-2007,UEFA Champions League,https://fbref.com/en/comps/8/249/2006-2007-Champions-League-Stats,knockout
cl,2006-2007,UEFA Champions League,https://fbref.com/en/comps/8/249/qual/2006-2007-Champions-League-Qualifying-Rounds,qualifying
el,2006-2007,UEFA Cup,https://fbref.com/en/comps/19/772/2006-2007-UEFA-Cup-Stats,knockout
